,cik,fyear,company_name,tic,status_label,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses,status
40990,915324,1999.0,TELULAR CORP,WRLS.1,alive,26.397,35.328,27.088,0.0,2.567,-9.264,-6.697,10.974,8.77,7.28,-10.582,-107.229,7.153,38.062,18.5283,7.28,38.062,44.75899999999999,0
40991,915324,2000.0,TELULAR CORP,WRLS.1,alive,35.178000000000004,44.586000000000006,27.726,1.9,2.262,-6.49,-4.228,12.39,6.391,7.007000000000001,-5.906000000000001,-113.075,7.671,40.116,163.0233,8.907,40.116,44.344,0
40992,915324,2001.0,TELULAR CORP,WRLS.1,alive,51.922,62.169,67.282,3.0,2.086,12.425999999999998,14.512,33.868,10.008,10.17,12.876,-100.201,5.151,101.15,64.9518,13.17,101.15,86.63799999999999,0
40993,915324,2002.0,TELULAR CORP,WRLS.1,alive,55.265,61.825,40.814,0.0,1.882,-2.895,-1.013,17.861,7.192,15.078,-3.009,-102.913,9.613,58.675,31.821,15.078,58.675,59.688,0
40994,915324,2003.0,TELULAR CORP,WRLS.1,alive,43.929,52.861,43.937,0.0,1.887,-3.5810000000000004,-1.694,19.037,11.184,9.351,-3.905,-106.818,8.328,62.974,64.3336,9.351,62.974,64.668,0
40995,915324,2004.0,TELULAR CORP,WRLS.1,alive,46.379,54.36600000000001,53.297,0.0,2.06,-0.721,1.339,22.662,10.636,9.565,-0.703,-107.521,12.844,75.959,139.4257,9.565,75.959,74.62,0
40996,915324,2005.0,TELULAR CORP,WRLS.1,alive,45.192,52.472,40.179,0.0,2.075,-11.166,-9.091,12.255999999999998,7.655,8.68,-10.882,-118.403,11.106,52.435,63.1551,8.68,52.435,61.526,0
40997,915324,2006.0,TELULAR CORP,WRLS.1,alive,46.586000000000006,57.937,72.848,0.0,3.402,-8.046,-4.644,20.252,12.405,19.125,-11.818,-130.221,25.495,93.1,39.2014,19.125,93.1,97.744,0
40998,915324,2007.0,TELULAR CORP,WRLS.1,alive,51.88399999999999,55.608,48.244,0.0,0.732,5.598,6.33,26.263,3.5,17.242,-1.946,-132.977,19.723,74.507,128.7418,17.242,74.507,68.17699999999999,0
40999,915324,2008.0,TELULAR CORP,WRLS.1,alive,43.81100000000001,47.969,40.948,0.0,0.674,5.791,6.465,25.206,10.007,7.802,-1.379,-134.356,6.904,66.154,45.696000000000005,7.802,66.154,59.68899999999999,0
41000,915324,2009.0,TELULAR CORP,WRLS.1,alive,33.569,40.325,27.434,0.0,1.071,2.031,3.102,19.76,7.803,4.9030000000000005,1.866,-132.49,7.588999999999999,47.194,48.1673,4.9030000000000005,47.194,44.092,0
41001,915324,2010.0,TELULAR CORP,WRLS.1,alive,40.181,81.551,26.522,0.0,1.148,3.361,4.509,20.832,4.821000000000001,6.135,38.121,-94.369,7.056,47.354,45.5083,6.664,47.354,42.845,0
41002,915324,2011.0,TELULAR CORP,WRLS.1,alive,22.643,68.233,24.301,0.0,1.787,6.345,8.132,26.197,3.005,7.127999999999999,4.154,-111.463,5.859,50.498000000000005,89.2965,7.806,50.498000000000005,42.36600000000001,0
41003,915324,2012.0,TELULAR CORP,WRLS.1,alive,33.898,113.185,35.734,24.75,6.002000000000001,10.637,16.639,44.113,7.478,17.268,5.899,-112.929,12.224,79.847,166.0923,42.054,79.847,63.208,0
